Compound,Life_extended,CAS Number,SMILES,PubChem_Common_Name,PubChem_CID
,0,,CC1OC(OC2CC(O)C3(CO)C4C(O)CC5(C)C(C6=CC(=O)OC6)CCC5(O)C4CCC3(O)C2)C(O)C(O)C1O,MLS002702983,4605
,0,,C[N+]1(C)CCOC(O)(c2ccc(-c3ccc(C4(O)C[N+](C)(C)CCO4)cc3)cc2)C1,Hemicholinium,3585
,0,,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,31456-25-4,2538
,0,,CN(C)CCC=C1c2ccccc2COc2ccccc21,Zonalon,3158
,0,,COc1cc2nc(N3CCN(C(=O)C4CCCO4)CC3)nc(N)c2cc1OC,terazosin,5401
,0,,Nc1ncnc2c1ncn2C1CCCO1,17318-31-9,5270
,0,,CCc1cccc2c3c([nH]c12)C(CC)(CC(=O)O)OCC3,etodolac,3308
,0,,Cc1nc2c([nH]1)c(=O)n(C)c(=O)n2Cc1ccco1,Furafylline,3433
,0,,C1CCC(N=C(NC23CC4CC(CC(C4)C2)C3)N2CCOCC2)CC1,PNU-37883,64393
,0,,O=C(NCCNCC(O)COc1ccc(O)cc1)N1CCOCC1,Xamoterol,155774
,0,,CCc1c(C)[nH]c2c1C(=O)C(CN1CCOCC1)CC2,MOLINDONE,23897
,0,,C1COC(NC(C2CC2)C2CC2)=N1,Rilmenidine,68712
,0,,O=C(c1ccc2c(c1)OCCO2)N1CCCCC1,215923-54-9,2890
,0,,NC(Cn1oc(=O)[nH]c1=O)C(=O)O,SDCCGSBI-0051009.P002,1209
,0,,CCOC([O-])=Nc1c[n+](N2CCOCC2)no1,SIN-10;Morsydomine,4238
,0,,O=c1onc2cnc3ccccc3n12,41443-28-1,1456
,0,,Cc1o[nH]c(=O)c1CC(N)C(=O)O,ampa,1221
,0,,CC(C)(C)c1o[nH]c(=O)c1CC(N)C(=O)O,ATPA,2253
,0,,NC(C(=O)O)c1cc(=O)[nH]o1,Ibotenic acid,1233
,0,,Cc1nc(-c2ccc(-c3ccc(C(=O)N4CCc5cc6c(cc54)C4(CCN(C)CC4)CO6)cc3)c(C)c2)no1,180083-23-2,3378093
,0,,COc1ccc(NC(=O)c2ccc(-c3ccc(-c4noc(C)n4)cc3C)cc2)cc1N1CCN(C)CC1,148672-13-3,107780
,0,,CC(C)CC(NC(=O)C(O)C(N)Cc1ccccc1)C(=O)O,"[(2S,3R)-3-Amino-2-hydroxy-4-phenylbutyryl]-L-leucine",3238
,0,,NC(C(=O)O)C1CC1C(=O)O,CCPG,1271
,0,,O=C(O)C1CCCNC1C(=O)O,17079-18-4,1226
,0,,O=C(O)C1CCCNC1,nipecotic acid,4498
,0,,C=C(C)C1CNC(C(=O)O)C1CC(=O)O,rac Kainic Acid,3816
,0,,CC(C)C1CNC(C(=O)O)C1CC(=O)O,-Dihydrokainic acid,1650
,0,,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,ketoprofen,3825
,0,,NC(C(=O)O)C(O)C(=O)O,3-Hydroxyaspartic acid,5425
,0,,C=CCC(N)C(=O)O,7685-44-1,14044
,0,,CN(C)C(N)=NCCCC(N)C(=O)O,n-dimethylarginine,501
,0,,NC(=NCCCC(N)C(=O)O)N[N+](=O)[O-],137433-32-0,4367
,0,,NC(=NCCCC(N)C(=O)O)NO,Nomega-hydroxyarginine,440849
,0,,CC(N)=NCCCCC(N)C(=O)O,53774-63-3,3863
,0,,Cc1cc(Cn2cnc3c2CC(C(=O)O)N(C(=O)C(c2ccccc2)c2ccccc2)C3)ccc1N,PD 123177,114899
,0,,O=C(O)CCC(=O)N1CCCC1C(=O)O,N-Succinyl-L-proline,4389
,0,,O=C(O)C1CC(C(=O)O)N1,MFCD00236469,5370
,0,,O=C(O)C1CCN1,2517-04-6,17288
,0,,CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)O,CHEBI:26536,5538
,0,,NC(=O)C(=O)O,OXAMIC ACID,974
,0,,Cc1cc(C)c(NC(=O)CC(CC(=O)O)c2cccc3ccccc23)c(C(=O)N2CCC3(CCCC3)CC2)c1,SCHEMBL1651913,3038479
,0,,CNC(CC(=O)O)C(=O)O,2-(methylamino)butanedioic acid,4376
,0,,C=C(C)C1CC=C(C(=O)O)CC1,Perillic acid,1256
,0,,NC1(C(=O)O)CCC(C(=O)O)C1,100910-67-6,1310
,0,,NC1(C(=O)O)CCc2cc(C(=O)O)ccc21,AIDA,2071
,0,,O=C(O)c1cc([N+](=O)[O-])ccc1NCCCc1ccccc1,NPPB,4549
,0,,CCCCCCCCc1ccc(-c2ccc(C(=O)O)cc2)cc1,4'-octyl-4-biphenylcarboxylic acid,1714884
,0,,CC(=Cc1ccc(C(=O)O)cc1)c1ccc2c(c1)C(C)(C)CCC2(C)C,"4-[2-(5,5,8,8-tetramethyl-6,7-dihydronaphthalen-2-yl)prop-1-enyl]benzoic acid",5602
,0,,CC(N)(C(=O)O)c1ccc(C(=O)O)cc1,146669-29-6,1222
,0,,O=C(O)CCC(NC(=O)c1ccccc1C(=O)O)C(=O)O,N-(o-Carboxybenzoyl)-DL-glutamic acid,4805
,0,,O=C(O)c1ccccc1Nc1ccccc1,N-phenylanthranilic acid,4386
,0,,O=C(O)C1CCNCC1,Isonipecotic acid,3773
,0,,CCCCc1ccc(C(=O)O)nc1,fusaric acid,3442
,0,,NC(N)=NC(CCC(=O)O)C(=O)O,2-Guanidinopentanedioic acid,2105
,0,,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,"L-Glutamic acid, N-[4-[[(2,4-diamino-6-pteridinyl)methyl]methylamino]benzoyl]-",4112
,0,,Nc1nc(N)c2nc(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)cnc2n1,4-Aminopteroylglutamic acid,2154
,0,,CC1(C)CCC(NC(=O)C(N)CCC(=O)O)CC1,CR-2249; XY-2401,5206034
,0,,C#CC(N)CCC(=O)O,gamma-Acetylenic gaba,3452
,0,,C=CC(N)CCC(=O)O,vigabatrin,5665
,0,,CCCN(CCC)C(=O)C(CCC(=O)O)NC(=O)c1ccccc1,proglumide,4922
,0,,O=C(O)CC[N+](=O)[O-],3-nitropropionic acid,1678
,0,,NCC1(CC(=O)O)CCCCC1,gabapentin,3446
,0,,NC(CCCC(=O)O)C(=O)O,2-Aminohexanedioic acid,469
,0,,CCCCCC(O)CCCC(=O)O,5-HYDROXYDECANOIC ACID,1825
,0,,CCCCCCCCCCCC=CC(C)(C)C=CCCCC(=O)O,"7,7-dimethyleicosadienoic acid",1877
,0,,O=C(O)CCCCCCCC(=O)O,azelaic acid,2266
,0,,NCCCCCC(=O)O,6-aminohexanoic acid,564
,0,,NCCCC(=O)O,4-Aminobutanoic acid,119
,0,,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CCN(CC(=O)O)CC(=O)O,Pentetic acid,3053
,0,,CCCCCC=CCC=CCC=CCC=CCCCC(=O)NCC(=O)O,"N-icosa-5,8,11,14-tetraenoylglycine",4345
,0,,CC(C)(C(=O)O)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,fexofenadine,3348
,0,,CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,terfenadine,5405
,0,,CCN(Cc1ccncc1)C(=O)C(CO)c1ccccc1,tropicamide,5593
,0,,CCCCCC(CC(=O)NO)C(=O)NC(C(=O)N1CCCC1CO)C(C)C,(-)-actinonin,2020
,0,,CCCCCCCCCCCCCC=CC(O)C(N)CO,10140-30-4,1104
,0,,CCCCCCCCCCCCCCCC(O)C(N)CO,"2-Aminooctadecane-1,3-diol",3126
,0,,CCC(CO)NC(=O)C1C=C2c3cccc4c3c(cn4C)CC2N(C)C1,"N-(1-hydroxybutan-2-yl)-4,7-dimethyl-6,6a,8,9-tetrahydroindolo[4,3-fg]quinoline-9-carboxamide",4163
,0,,CCC(CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1,186692-44-4,5097
,0,,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,Cortisone-[2H7],521440
,0,,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,"11,17,21-Trihydroxypregn-4-ene-3,20-dione",3640
,0,,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)COC(=O)CCC(=O)O,1231184-90-9,3643
,0,,CC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,"17alpha-Hydroxypregn-4-ene-3,20-dione",521928
,0,,CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(=O)CC21C,"2-{1-hydroxy-9a,11a-dimethyl-7,10-dioxo-1H,2H,3H,3aH,3bH,4H,5H,7H,8H,9H,9aH,9bH,10H,11H,11aH-cyclopenta[a]phenanthren-1-yl}-2-oxoethyl acetate",2863
,0,,CC#CC1(O)CCC2C3CCC4=CC(=O)CCC4=C3C(c3ccc(N(C)C)cc3)CC21C,"11-[4-(dimethylamino)phenyl]-17-hydroxy-13-methyl-17-prop-1-ynyl-1,2,6,7,8,11,12,14,15,16-decahydrocyclopenta[a]phenanthren-3-one",4196
,0,,C#CC1(O)CCC2C3CCC4=Cc5nc6nc7ccccc7n6cc5CC4(C)C3CCC21C,SCHEMBL4111592,72745410
,0,,CC(C)(C)C1(O)CCN2CC3c4ccccc4CCc4cccc(c43)C2C1,BUTACLAMOL,1224
,0,,CC12CCC3C(CCC4=C(O)C(=O)CCC43C)C1CCC2=O,"4-Androsten-4-ol-3,17-dione",3408
,0,,CCN1CC2(C)CCC(O)C34C5CC6C(OC)CC(O)(C(CC23)C14)C5C6O,Carmicheline,170157
,0,,CN1CCc2cccc3c2C1Cc1ccc(O)c(O)c1-3,(+/-)-Apomorphine,2215
,0,,CCCN1CCc2cccc3c2C1Cc1ccc(O)c(O)c1-3,N-n-Propylnorapomorphine,30137
,0,,O=[N+]([O-])c1cc(O)c(O)c([N+](=O)[O-])c1,"3,5-dinitrocatechol",3870203
,0,,Cc1cc(C(C)(C)C)c(O)c(C)c1CC1=NCCN1,oxymetazoline,4636
,0,,CC(C)(C)c1cc(C=C(C#N)C#N)cc(C(C)(C)C)c1O,Malonoben,5614
,0,,CC(C)(C=O)Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,Cgp 13501,3519541
,0,,CC(C)(CO)Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,57717-80-3,5024764
,0,,CC(C)c1cccc(C(C)C)c1O,propofol,4943
,0,,N#CC(=Cc1cc(O)c(O)c(O)c1)C(N)=C(C#N)C#N,(Z)-Tyrphostin A51,5612
,0,,N#CC(C#N)=Cc1cc(O)c(O)c(O)c1,Tyrphostin 25,2061
,0,,O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21,mitoxantrone,4212
,0,,O=c1[nH]ccc2c(O)cccc12,"1,5-isoquinolinediol",1340
,0,,CCCN(CCc1ccccc1)C1CCc2c(O)cccc2C1,87857-27-0,1240
,0,,CC[N+](C)(C)c1cccc(O)c1,ENLON-PLUS,3202
,0,,NC(C(=O)O)c1cc(O)cc(O)c1,"3,5-Dihydroxyphenylglycine",108001
,0,,CC(C)(C)NCC(O)c1cc(O)cc(O)c1,terbutaline,5403
,0,,CC(C)NCC(O)c1cc(O)cc(O)c1,metaproterenol,4086
,0,,CCCN1CCCC(c2cccc(O)c2)C1,3-(1-propylpiperidin-3-yl)phenol,55445
,0,,CNCC(O)c1cccc(O)c1,3-[1-Hydroxy-2-(methylamino)ethyl]phenol,4782
,0,,CCCCCCC(C)(C)c1ccc(C2CC(O)CCC2CCCO)c(O)c1,"CP55,667",4412255
,0,,N#CC(C#N)=Cc1ccc([N+](=O)[O-])c(O)c1,118409-62-4,2046
,0,,NCC(O)c1ccc(O)c(O)c1,"1,2-Benzenediol, 4-(2-amino-1-hydroxyethyl)-",951
,0,,CC(N)C(O)c1ccc(O)c(O)c1,Nordefrin,3917
,0,,CCC(NC(C)C)C(O)c1ccc(O)c(O)c1,Isoetarinum [INN-Latin],3762
,0,,CC(NC(=O)C(C#N)=Cc1ccc(O)c(O)c1)c1ccccc1,(-)-Tyrphostin B44,2056
,0,,N#CC(=Cc1ccc(O)c(O)c1)C(=O)N1CCc2ccccc21,Tyrphostin AG 528,4886983
,0,,N#CC(=Cc1ccc(O)c(O)c1)C(=O)Nc1ccccc1,AG-494;AG494;Tyrphostin AG 494,2055
,0,,N#CC(=Cc1ccc(O)c(O)c1)C(=O)NCc1ccccc1,134036-52-5,2390
,0,,N#CC(=Cc1ccc(O)c(O)c1)C(=O)NCCc1ccccc1,SCHEMBL7378564,20980959
,0,,N#CC(=Cc1ccc(O)c(O)c1)C(=O)NCCCc1ccccc1,Tyrphostin B46,2058
,0,,N#CC(=Cc1ccc(O)c(O)c1)C(=O)NCCCNC(=O)C(C#N)=Cc1ccc(O)c(O)c1,CBiol_001715,2389
,0,,N#CC(=Cc1c[nH]c2ccccc12)C(=O)c1ccc(O)c(O)c1,SCHEMBL9472180,373911
,0,,N#CC(=Cc1ccc(O)c(O)c1)C(=O)c1ccc(O)c(O)c1,"3-(3,4-dihydroxyphenyl)-2-[(3,4-dihydroxyphenyl)-oxomethyl]-2-propenenitrile",2057
,0,,CC(N)(Cc1ccc(O)c(O)c1)C(=O)O,Mulfasin,4138
,0,,NC(Cc1ccc(O)c(O)c1)C(=O)O,DL-DOPA,836
,0,,COC(=O)C(N)Cc1ccc(O)c(O)c1,methyl 3-hydroxytyrosinate,424631
,0,,N#CC(C#N)=Cc1ccc(O)c(O)c1,Tyrphostin 23,2052
,0,,CC(Cc1ccc(O)c(O)c1)(NN)C(=O)O,302-53-4,2563
,0,,O=C(O)Cc1ccc(O)c(O)c1,"3,4-Dihydroxyphenylacetic acid",547
,0,,CC(CCc1ccc(O)cc1)NCCc1ccc(O)c(O)c1,dobutamine,36811
,0,,CNCCc1ccc(O)c(O)c1,epinine,4382
,0,,CC(=O)NCCc1ccc(O)c(O)c1,N-Acetyldopamine,100526
,0,,CCCCCCCCC=CCCCCCCCC(=O)NCCc1ccc(O)c(O)c1,"N-[2-(3,4-dihydroxyphenyl)ethyl]-9-octadecenamide",443751
,0,,NC(Cc1cc(O)c(O)cc1O)C(=O)O,6-Hydroxy-DL-DOPA,107794
,0,,O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1O,phloretin,4788
,0,,O=C(C=Cc1ccc(O)cc1)c1ccc(O)cc1O,GU17;ISL;Isoliquiritigen,425
,0,,Cc1[nH]c2ccc(O)cc2c1CCN,2-Methyl-5-hydroxytryptamine,1574
,0,,NC(Cc1c[nH]c2ccc(O)cc12)C(=O)O,5-hydroxytryptophan,144
,0,,CC(N)Cc1c[nH]c2ccc(O)cc12,3-(2-aminopropyl)-1H-indol-5-ol,2107
,0,,CN1CCC(c2c[nH]c3ccc(O)cc23)CC1,57477-39-1,2438
,0,,O=C(O)Cc1c[nH]c2ccc(O)cc12,5-Hydroxyindole-3-acetic acid,1826
,0,,CC(=O)NCCc1c[nH]c2ccc(O)cc12,N-Acetyl-5-hydroxytryptamine,903
,0,,CNCCc1c[nH]c2ccc(O)cc12,N-Methylserotonin,150885
,0,,C=CCN1CCC2(C)c3cc(O)ccc3CC1C2C,"SKF-10,047",1235
,0,,CC1C2Cc3ccc(O)cc3C1(C)CCN2CC1CC1,CYCLAZOCINE,19143
,0,,C=CCN1CCc2cc(O)c(O)cc2C(c2ccccc2)C1,Skf-77434,1241
,0,,CN1CCC2(C)c3cc(O)ccc3N(C)C12,SCHEMBL150459,1250
,0,,CN1CCC23CCCCC2C1Cc1ccc(O)cc13,Racemorphan,3918
,0,,C=CCN1CCC23CCCCC2C1Cc1ccc(O)cc13,"Morphinan-3-ol, 17-(2-propenyl)-",3912
,0,,CC12CCC3c4ccc(O)cc4CCC3C1CCC2=O,Menformon A,698
,0,,CC(CN1CCC(Cc2ccccc2)CC1)C(O)c1ccc(O)cc1,4-(3-(4-benzylpiperidin-1-yl)-1-hydroxy-2-methylpropyl)phenol,4061954
,0,,CC(CCc1ccccc1)NC(C)C(O)c1ccc(O)cc1,nylidrin,4567
,0,,CC(C(O)c1ccc(O)cc1)N1CCC(Cc2ccccc2)CC1,Ifenprodil,3689
,0,,CNCC(O)c1ccc(O)cc1,Synephrine,7172
,0,,N#CC(=Cc1ccc(O)cc1)C(N)=C(C#N)C#N,"2-amino-4-(4-hydroxyphenyl)buta-1,3-diene-1,1,3-tricarbonitrile",2045
,0,,NNC(=O)c1ccc(O)cc1,4-hydroxybenzhydrazide,1742
,0,,CCCc1c(-c2ccc(O)cc2)nn(-c2ccc(O)cc2)c1-c1ccc(O)cc1,263717-53-9,5040063
,0,,CC(N)(Cc1ccc(O)cc1)C(=O)O,"Tyrosine, alpha-methyl-",3125
,0,,COC(=O)C(C)(N)Cc1ccc(O)cc1,alpha-Methyltyrosine methyl ester,2112
,0,,CC(NCCc1ccc(O)cc1)C(O)c1ccc(O)cc1,4635-27-2,31729
,0,,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,labetalol,3869
,0,,O=C(O)C1=CC(=C(c2ccc(O)c(C(=O)O)c2)c2ccc(O)c(C(=O)O)c2)C=CC1=O,aurintricarboxylic acid,2259
,0,,CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,Salbutamol,2083
,0,,CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)Nc1ccc(O)cc1,CBiol_001848,1744
,0,,Oc1ccc(O)cc1,hydroquinone,785
,0,,O=C1NC(c2cccc([N+](=O)[O-])c2)=CCN1c1ccccc1O,Icilin,161930
,0,,Oc1ccccc1O,pyrocatechol,289
,0,,C[N+](C)(C)CCO,choline,305
,0,,CCCCCC=CCC(O)C=Cc1cccc(CC(O)CCCCO)n1,KBioGR_000256,6610320
,0,,OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1,dipyridamole,3108
,0,,CCCCCCCCC=CCCCCCCCC(=O)NCCO,N-(2-hydroxyethyl)octadec-9-enamide,4383
,0,,CCCCCCCCCCCCCCCC(=O)NCCO,Palmitoylethanolamide,4671
,0,,Cn1cnc2c(NCc3ccccc3)nc(NCCO)nc21,olomoucine,4592
,0,,N=c1nc(N2CCCCC2)cc(N)n1O,"2,6-Diamino-4-(piperidin-1-yl)pyrimidine 1-oxide",135743713
,0,,CP(=O)(O)C1=CCNCC1,TPMPA,5521
,0,,CP(=O)(O)CCCN,3-aminopropyl(methyl)phosphinic Acid,5230
,0,,CC1OC1P(=O)(O)O,(3-Methyloxiran-2-yl)phosphonic acid,3417
,0,,NC(CP(=O)(O)O)C(=O)O,5652-28-8,3857
,0,,O=C(O)CP(=O)(O)O,Phosphonoacetic acid,546
,0,,NC(CCP(=O)(O)O)C(=O)O,6323-99-5,2207
,0,,NC(Cc1cccc(-c2ccccc2CP(=O)(O)O)c1)C(=O)O,PMBA,4779
,0,,CC(C)(CCP(=O)(O)O)C(=O)O,"2,2-dimethyl-4-phosphonobutanoic acid",6603928
,0,,NC(CCCP(=O)(O)O)C(=O)O,2-Amino-5-phosphonopentanoic acid,1216
,0,,NC(CCCCCP(=O)(O)O)C(=O)O,2-Amino-7-phosphonoheptanoic acid,3122
,0,,NCCCP(=O)(O)O,3-Aminopropylphosphonic acid,97587
,0,,O=C(O)C1CN(CCCP(=O)(O)O)CCN1,100828-16-8,1228
,0,,CC(C)(C)c1onc(OCP(=O)(O)O)c1CC(N)C(=O)O,ATPO,4615193
,0,,CNc1ncnc2c1ncn2C1CC(OP(=O)(O)O)C(COP(=O)(O)O)O1,L000416,3985498
,0,,CC(C)CC(NP(=O)(O)OC1OC(C)C(O)C(O)C1O)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)O,CHEMBL41289,4802
,0,,NC(COP(=O)(O)O)C(=O)O,17885-08-4,106
,0,,NC(=O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)C=CC1,dihydro-nicotinamide-adenine-dinucleotide phosphate,930
,0,,C[N+](C)(C)CCOP(=O)(O)OP(=O)([O-])OCC1OC(n2ccc(N)nc2=O)C(O)C1O,RZZPDXZPRHQOCG-UHFFFAOYSA-N,3901273
,0,,O=c1ccn(C2OC(COP(=O)(O)OP(=O)(O)O)C(O)C2O)c(=O)[nH]1,UDP - Na,1158
,0,,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)CP(=O)(O)OP(=O)(O)O)C(O)C1O,"ATP, alpha, beta methylene",3104
,0,,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)OCC2OC(n3cnc4c(N)ncnc43)C(O)C2O)C(O)C1O,bis(5'-adenylyl) diphosphate,194
,0,,CCCCCCCCCCCCCCCCCCOCC(COP(=O)([O-])OCC[N+](C)(C)C)OC,EDELFOSINE,1392
,0,,CCCCCCCCCCCCCCCC(=O)NCC(COP(=O)([O-])OCC[N+](C)(C)C)OCC,112989-01-2,361655
,0,,CCCCCCCCCCCCCCCCCC(=O)NCC(COP(=O)([O-])OCC[N+](C)(C)C)OCC,112989-02-3,72241
,0,,Cc1nc(N=Nc2ccc(C(=O)O)cc2)c(COP(=O)(O)O)c(C=O)c1O,MRS2159,5052387
,0,,CC(C)NP(=O)(NC(C)C)OP(=O)(NC(C)C)NC(C)C,iso-OMPA,5420
,0,,Nc1ncnc2c1ncn2C1OC2COP(=O)(O)OC2C1O,Acrasin,274
,0,,N#CC(=C(N)Sc1ccccc1N)C(C#N)=C(N)Sc1ccccc1N,DTXSID4040470,5637
,0,,CSC(N)=NCCCC(N)C(=O)O,SPECTRUM1502215,5148969
,0,,CC(C)(C)c1ccc(S(=O)(=O)C=CC#N)cc1,SCHEMBL157757,2302
,0,,CCN(CC)CCNC(=O)c1cc(S(C)(=O)=O)ccc1OC,tiapride,5467
,0,,CC1=C(CC(=O)O)c2cc(F)ccc2C1=Cc1ccc(S(C)(=O)=O)cc1,Aptosyn; Exisulind,114866
,0,,Cc1ccccc1N1CCN(S(=O)(=O)CC23CCC(CC2NC(=O)C(N)CCS(C)(=O)=O)C3(C)C)CC1,CHEMBL3392901,21476314
,0,,CN(C)S(=O)(=O)c1ccc2c(c1)C(=Cc1cc3c([nH]1)CCCC3)C(=O)N2,DTXSID601017226,5309
,0,,NS(=O)(=O)C#Cc1ccccc1,64984-31-2,327653
,0,,NS(=O)(=O)c1cccc2c1c([N+](=O)[O-])cc1[nH]c(=O)c(=O)[nH]c12,118876-58-7,3272524
,0,,CCCCNc1cc(C(=O)O)cc(S(N)(=O)=O)c1Oc1ccccc1,bumetanide,2471
,0,,CN1CC(NS(=O)(=O)N(C)C)CC2c3cccc4c3c(cn4C)CC21,BDBM86527,5251926
,0,,CC1CN(S(=O)(=O)c2cccc3cnccc23)CCN1,84477-73-6,1352
,0,,CC1CCN(CCC2CCCN2S(=O)(=O)c2cccc(O)c2)CC1,CHEMBL5218527,4184551
,0,,CC1CNCCN1S(=O)(=O)c1cccc2cnccc12,84477-87-2,3542
,0,,O=S(=O)(c1cccc2cnccc12)N1CCNCC1,84468-24-6,3545
,0,,CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,acetohexamide,1989
,0,,Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)cn1,glipizide,3478
,0,,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,tolbutamide,5505
,0,,Cc1ccc(S(=O)(=O)NC(=O)NN2CCCCCC2)cc1,tolazamide,5503
,0,,CCS(=O)(=O)Nc1cccc(C(=C2CCCCC2)c2cnc[nH]2)c1,DTXSID801017391,6603710
,0,,COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12,amsacrine,2179
,0,,CS(=O)(=O)Nc1ccc([N+](=O)[O-])cc1Oc1ccccc1,nimesulide,4495
,0,,CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1,sotalol,5253
,0,,Nc1ccc(S(=O)(=O)Nc2ccnn2-c2ccccc2)cc1,sulfaphenazole,5335
,0,,CNc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(NC)n1,Ro 04-6790,5312145
,0,,Cn1cc(C(=O)OCC2CCN(CCNS(C)(=O)=O)CC2)c2ccccc21,GR 113808,119376
,0,,COc1[nH]c2ccc(F)cc2c1C(=O)OCC1CCN(CCNS(C)(=O)=O)CC1,144625-67-2,4284721
,0,,CNCCNS(=O)(=O)c1cccc2cnccc12,84478-11-5,3540
,0,,CC1=C(CC(=O)O)c2cc(F)ccc2C1=Cc1ccc([S+](C)[O-])cc1,32004-68-5,5352
,0,,Cc1c(OCC(F)(F)F)ccnc1C[S+]([O-])c1nc2ccccc2[nH]1,lansoprazole,3883
,0,,CC12CCC3c4ccc(O)cc4CC(CCCCCCCCC[S+]([O-])CCCC(F)(F)C(F)(F)F)C3C1CCC2O,"13-methyl-7-[9-(4,4,5,5,5-pentafluoropentylsulfinyl)nonyl]-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthrene-3,17-diol",3478439
,0,,CC(=O)SC1CC2=CC(=O)CCC2(C)C2CCC3(C)C(CCC34CCC(=O)O4)C12,MLS000678252,5267
,0,,CC(=O)SCC[N+](C)(C)C,ACETYLTHIOCHOLINE,20544
,0,,CCCOC(=O)c1c(-c2ccccc2)nc(CC)c(C(=O)SCC)c1CCC,MRS 1523,3661570
,0,,CC(C)(Sc1ccc(CCN(CCCCC2CCCCC2)C(=O)NC2CCCCC2)cc1)C(=O)O,GW7647,3392731
,0,,CSC(=N)N,methyl carbamimidothioate,5142
,0,,CSc1ccc(C(=O)c2[nH]c(=O)[nH]c2C)cc1,ENOXIMONE,53708
,0,,CSc1nc(N)c2ncn(C3OC(COP(=O)(O)OP(=O)(O)O)C(O)C3O)c2n1,L000062,1580
,0,,CSc1nc(N)c2ncn(C3OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C3O)c2n1,43170-89-4,1582
,0,,CC(C)=CCCC(C)=CCCC(C)=CCSc1ccccc1C(=O)O,S-Farnesylthiosalicylic acid;Farnesyl Thiosalicylic Acid;FTS,389644
,0,,N#CSc1ccc2oc(C3=NCCN3)cc2c1,BU99006,6603748
,0,,Cn1cnc([N+](=O)[O-])c1Sc1ncnc2nc[nH]c12,azathioprine,2265
,0,,[N-]=[N+]=Nc1ccc(C(=O)CSCC(NC(=O)CCC(N)C(=O)O)C(=O)NCC(=O)O)cc1,2-amino-5-[[3-[2-(4-azidophenyl)-2-oxoethyl]sulfanyl-1-(carboxymethylamino)-1-oxopropan-2-yl]amino]-5-oxopentanoic acid,5131
,0,,Nc1nc(SCc2ccc([N+](=O)[O-])cc2)c2ncn(C3OC(CO)C(O)C3O)c2n1,p-NBTGR,241893
,0,,O=[N+]([O-])c1ccc(CSc2ncnc3c2ncn3C2OC(CO)C(O)C2O)cc1,S-(4-Nitrobenzyl)-6-thioinosine,5129
,0,,CN=C(NC#N)NCCSCc1nc[nH]c1C,cimetidine,2756
,0,,CNC(=C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1,Ranitidina,5039
,0,,CCCCCCCCCCCCCCSCC(=O)O,Tetradecylthioacetic acid,114924
,0,,CN(C)CCCCSC(=N)N,SKF-91488,5227
